date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:03	276024/276024	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2022:44:24%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/57723IMG_3412.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/57723IMG_3412b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:04	259244/259244	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20May%202020%2017:46:38%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/49027IMG_3346.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/49027IMG_3346b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:05	135246/135246	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20May%202020%2019:22:09%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/90637FullSizeRender-4.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/90637FullSizeRender-4b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:06	257090/257090	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2007:53:18%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/51438IMG_3451.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/51438IMG_3451b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:07	269118/269118	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2007:53:45%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/88076IMG_3450.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/88076IMG_3450b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:08	266956/266956	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:09:07%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/42910IMG_3411.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/42910IMG_3411b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:09	261353/261353	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2002:23:09%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/26380IMG_3334.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/26380IMG_3334b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:10	249949/249949	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2002:02:33%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/40815IMG_3339.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/40815IMG_3339b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:11	259644/259644	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:09:10%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/1280IMG_3338.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/1280IMG_3338b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:12	278867/278867	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:09:11%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/4296IMG_3173.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/4296IMG_3173b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
